,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
784,2015-08-01,5904.754319734844,4181.79536099653,6287.534731962417,5904.754319734844,5904.754319734844,-673.7349827888664,-673.7349827888664,-673.7349827888664,-719.174286025024,-719.174286025024,-719.174286025024,45.439303236157684,45.439303236157684,45.439303236157684,0.0,0.0,0.0,5231.019336945978
785,2015-08-02,5905.498640810681,4601.137199694533,6796.956030893183,5905.498640810681,5905.498640810681,-172.38568701330075,-172.38568701330075,-172.38568701330075,-197.42391577804264,-197.42391577804264,-197.42391577804264,25.03822876474189,25.03822876474189,25.03822876474189,0.0,0.0,0.0,5733.11295379738
786,2015-08-03,5906.242961886517,5944.38827650551,7967.440750363007,5906.242961886517,5906.242961886517,1015.9174861308155,1015.9174861308155,1015.9174861308155,1013.0406335698964,1013.0406335698964,1013.0406335698964,2.876852560919101,2.876852560919101,2.876852560919101,0.0,0.0,0.0,6922.160448017333
787,2015-08-04,5906.987282962354,5061.891551315276,7163.706816516828,5906.987282962354,5906.987282962354,202.9899159323991,202.9899159323991,202.9899159323991,223.673780740026,223.673780740026,223.673780740026,-20.683864807626865,-20.683864807626865,-20.683864807626865,0.0,0.0,0.0,6109.977198894753
788,2015-08-05,5907.731604038191,4519.738937728753,6735.74573454629,5907.731604038191,5907.731604038191,-248.33222352265886,-248.33222352265886,-248.33222352265886,-203.0460670169387,-203.0460670169387,-203.0460670169387,-45.28615650572016,-45.28615650572016,-45.28615650572016,0.0,0.0,0.0,5659.399380515532
789,2015-08-06,5908.4759251140285,4522.46471694717,6649.30679716617,5908.4759251140285,5908.4759251140285,-253.5972205089019,-253.5972205089019,-253.5972205089019,-183.0129705483533,-183.0129705483533,-183.0129705483533,-70.58424996054858,-70.58424996054858,-70.58424996054858,0.0,0.0,0.0,5654.878704605127
790,2015-08-07,5909.220246189865,4853.938399098856,6965.068545122471,5909.220246189865,5909.220246189865,-30.309419967221295,-30.309419967221295,-30.309419967221295,65.9428250599196,65.9428250599196,65.9428250599196,-96.25224502714089,-96.25224502714089,-96.25224502714089,0.0,0.0,0.0,5878.910826222644
791,2015-08-08,5909.964567265702,4009.294686897748,6178.149985647215,5909.964567265702,5909.964567265702,-841.1651478833066,-841.1651478833066,-841.1651478833066,-719.1742860249269,-719.1742860249269,-719.1742860249269,-121.99086185837977,-121.99086185837977,-121.99086185837977,0.0,0.0,0.0,5068.799419382395
792,2015-08-09,5910.708888341539,4391.709348028672,6595.063944590181,5910.708882031282,5910.708888758732,-344.9568065194107,-344.9568065194107,-344.9568065194107,-197.42391577743027,-197.42391577743027,-197.42391577743027,-147.53289074198042,-147.53289074198042,-147.53289074198042,0.0,0.0,0.0,5565.752081822128
793,2015-08-10,5911.4532094173765,5716.1418646342745,7767.906363966459,5911.453193332881,5911.453220454935,840.3934126523706,840.3934126523706,840.3934126523706,1013.0406335696235,1013.0406335696235,1013.0406335696235,-172.64722091725298,-172.64722091725298,-172.64722091725298,0.0,0.0,0.0,6751.846622069747
